# Op -75.381092 4.492298 2495
# Pp -75.38788 4.487717 2712
# A 4.466944 4.500833 -75.37 -75.40472
# cenith[rad] azimuth[rad] distance[km]
3.490658503988658956e-01 -1.745329251994329478e-01 0.000000000000000000e+00
3.490658503988658956e-01 -1.631348566149801727e-01 0.000000000000000000e+00
3.490658503988658956e-01 -1.517367880305274253e-01 0.000000000000000000e+00
3.490658503988658956e-01 -1.403387194460746501e-01 0.000000000000000000e+00
3.490658503988658956e-01 -1.289406508616219027e-01 0.000000000000000000e+00
3.490658503988658956e-01 -1.175425822771691275e-01 0.000000000000000000e+00
3.490658503988658956e-01 -1.061445136927163663e-01 0.000000000000000000e+00
3.490658503988658956e-01 -9.474644510826360500e-02 0.000000000000000000e+00
3.490658503988658956e-01 -8.334837652381084372e-02 0.000000000000000000e+00
3.490658503988658956e-01 -7.195030793935808244e-02 0.000000000000000000e+00
3.490658503988658956e-01 -6.055223935490532117e-02 0.000000000000000000e+00
3.490658503988658956e-01 -4.915417077045255989e-02 0.000000000000000000e+00
3.490658503988658956e-01 -3.775610218599978474e-02 0.000000000000000000e+00
3.490658503988658956e-01 -2.635803360154704081e-02 0.000000000000000000e+00
3.490658503988658956e-01 -1.495996501709426219e-02 0.000000000000000000e+00
3.490658503988658956e-01 -3.561896432641516088e-03 0.000000000000000000e+00
3.490658503988658956e-01 7.836172151811260367e-03 0.000000000000000000e+00
3.490658503988658956e-01 1.923424073626403899e-02 0.000000000000000000e+00
3.490658503988658956e-01 3.063230932071678292e-02 0.000000000000000000e+00
3.490658503988658956e-01 4.203037790516955807e-02 0.000000000000000000e+00
3.490658503988658956e-01 5.342844648962230547e-02 0.000000000000000000e+00
3.490658503988658956e-01 6.482651507407508062e-02 0.000000000000000000e+00
3.490658503988658956e-01 7.622458365852782802e-02 0.000000000000000000e+00
3.490658503988658956e-01 8.762265224298060318e-02 0.000000000000000000e+00
3.490658503988658956e-01 9.902072082743337833e-02 0.000000000000000000e+00
3.490658503988658956e-01 1.104187894118861674e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.218168579963388731e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.332149265807916483e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.446129951652444234e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.560110637496971986e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.674091323341499182e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.788072009186026934e-01 0.000000000000000000e+00
3.490658503988658956e-01 1.902052695030554685e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.016033380875082437e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.130014066719610188e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.243994752564137385e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.357975438408665136e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.471956124253192888e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.585936810097720917e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.699917495942247836e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.813898181786775865e-01 0.000000000000000000e+00
3.490658503988658956e-01 2.927878867631303339e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.041859553475831368e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.155840239320358842e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.269820925164886316e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.383801611009413790e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.497782296853941819e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.611762982698469293e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.725743668542997322e-01 0.000000000000000000e+00
3.490658503988658956e-01 3.839724354387524796e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.745329251994329478e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.631348566149801727e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.517367880305274253e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.403387194460746501e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.289406508616219027e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.175425822771691275e-01 0.000000000000000000e+00
3.383801611009414345e-01 -1.061445136927163663e-01 0.000000000000000000e+00
3.383801611009414345e-01 -9.474644510826360500e-02 0.000000000000000000e+00
3.383801611009414345e-01 -8.334837652381084372e-02 0.000000000000000000e+00
3.383801611009414345e-01 -7.195030793935808244e-02 0.000000000000000000e+00
3.383801611009414345e-01 -6.055223935490532117e-02 0.000000000000000000e+00
3.383801611009414345e-01 -4.915417077045255989e-02 0.000000000000000000e+00
3.383801611009414345e-01 -3.775610218599978474e-02 0.000000000000000000e+00
3.383801611009414345e-01 -2.635803360154704081e-02 0.000000000000000000e+00
3.383801611009414345e-01 -1.495996501709426219e-02 0.000000000000000000e+00
3.383801611009414345e-01 -3.561896432641516088e-03 0.000000000000000000e+00
3.383801611009414345e-01 7.836172151811260367e-03 0.000000000000000000e+00
3.383801611009414345e-01 1.923424073626403899e-02 0.000000000000000000e+00
3.383801611009414345e-01 3.063230932071678292e-02 0.000000000000000000e+00
3.383801611009414345e-01 4.203037790516955807e-02 0.000000000000000000e+00
3.383801611009414345e-01 5.342844648962230547e-02 0.000000000000000000e+00
3.383801611009414345e-01 6.482651507407508062e-02 0.000000000000000000e+00
3.383801611009414345e-01 7.622458365852782802e-02 0.000000000000000000e+00
3.383801611009414345e-01 8.762265224298060318e-02 0.000000000000000000e+00
3.383801611009414345e-01 9.902072082743337833e-02 0.000000000000000000e+00
3.383801611009414345e-01 1.104187894118861674e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.218168579963388731e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.332149265807916483e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.446129951652444234e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.560110637496971986e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.674091323341499182e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.788072009186026934e-01 0.000000000000000000e+00
3.383801611009414345e-01 1.902052695030554685e-01 0.000000000000000000e+00
3.383801611009414345e-01 2.016033380875082437e-01 0.000000000000000000e+00
3.383801611009414345e-01 2.130014066719610188e-01 0.000000000000000000e+00
3.383801611009414345e-01 2.243994752564137385e-01 0.000000000000000000e+00
3.383801611009414345e-01 2.357975438408665136e-01 0.000000000000000000e+00
3.383801611009414345e-01 2.471956124253192888e-01 0.000000000000000000e+00
3.383801611009414345e-01 2.585936810097720917e-01 0.000000000000000000e+00
